scaffold	id	begin	end	size	transposable	taxonomy
SAMN23078432_1	SAMN23078432_1_prophage1	1223415	1406746	183.331	False	Siphoviridae
SAMN26754979_1	SAMN26754979_1_prophage1	1142049	1257507	115.458	True	Siphoviridae
SAMN13186402_61	SAMN13186402_61_prophage2	18201	122071	103.87	False	Siphoviridae
SAMN12147413_31	SAMN12147413_31_prophage1	41919	137358	95.439	True	Myoviridae
SAMN33246475_1	SAMN33246475_1_prophage2	1634061	1724546	90.485	False	Myoviridae
SAMN42384223_1	SAMN42384223_1_prophage1	100619	189908	89.289	False	Myoviridae
SAMN43530940_1	SAMN43530940_1_prophage1	968307	1049122	80.815	False	Siphoviridae
SAMN23014280_67	SAMN23014280_67_prophage1	28617	106812	78.195	False	Siphoviridae
SAMN14169845_1	SAMN14169845_1_prophage2	509059	586517	77.458	False	Siphoviridae
SAMN02369505_36	SAMN02369505_36_prophage1	58427	135622	77.195	False	Siphoviridae
SAMN15338494_18	SAMN15338494_18_prophage1	76633	152384	75.751	False	Siphoviridae
SAMN46310991_1	SAMN46310991_1_prophage3	1189772	1265267	75.495	False	Siphoviridae
SAMN24967839_1	SAMN24967839_1_prophage1	1205008	1280419	75.411	False	Siphoviridae
SAMN03654467_27	SAMN03654467_27_prophage1	70259	145029	74.77	False	Siphoviridae
SAMN33741221_1	SAMN33741221_1_prophage4	2557737	2632462	74.725	False	Siphoviridae
SAMN10174877_1	SAMN10174877_1_prophage2	1775352	1849632	74.28	False	Myoviridae
SAMN36813915_1	SAMN36813915_1_prophage2	631978	705275	73.297	False	Siphoviridae
SAMN22871634_1	SAMN22871634_1_prophage4	1876910	1949628	72.718	False	Siphoviridae
SAMN41103189_2	SAMN41103189_2_prophage1	31640	104254	72.614	True	Siphoviridae
SAMN20114164_1	SAMN20114164_1_prophage3	2682688	2754719	72.031	False	Podoviridae
SAMN06052263_1	SAMN06052263_1_prophage1	650607	721827	71.22	False	Siphoviridae
SAMN33741190_1	SAMN33741190_1_prophage3	2508315	2579459	71.144	False	Siphoviridae
SAMN37298046_1	SAMN37298046_1_prophage1	721641	791232	69.591	True	Siphoviridae
SAMN33717545_1	SAMN33717545_1_prophage2	1279787	1347444	67.657	True	Siphoviridae
SAMN14419812_7	SAMN14419812_7_prophage1	4429	71988	67.559	False	Siphoviridae
SAMN25249820_1	SAMN25249820_1_prophage3	976314	1043204	66.89	False	Siphoviridae
SAMN16495239_7	SAMN16495239_7_prophage1	150718	217064	66.346	False	Siphoviridae
SAMN16630910_5	SAMN16630910_5_prophage1	22026	87158	65.132	False	Siphoviridae
SAMN38169127_1	SAMN38169127_1_prophage4	2444939	2509867	64.928	False	Siphoviridae
SAMN26755017_1	SAMN26755017_1_prophage2	1754822	1818476	63.654	True	Siphoviridae
SAMN12784882_1	SAMN12784882_1_prophage7	3248262	3309667	61.405	False	Siphoviridae
SAMN16327791_1	SAMN16327791_1_prophage2	936344	996130	59.786	False	Siphoviridae
SAMN30932864_1	SAMN30932864_1_prophage2	901830	961340	59.51	False	Siphoviridae
SAMN31322064_1	SAMN31322064_1_prophage1	37815	96106	58.291	True	Siphoviridae
SAMN31322062_2	SAMN31322062_2_prophage1	37815	96106	58.291	True	Siphoviridae
SAMN31322061_1	SAMN31322061_1_prophage1	37815	96106	58.291	True	Siphoviridae
SAMN31322060_75	SAMN31322060_75_prophage1	37737	96028	58.291	True	Siphoviridae
SAMN15454222_55	SAMN15454222_55_prophage1	9796	67692	57.896	False	Siphoviridae
SAMN29057975_8	SAMN29057975_8_prophage1	36732	92108	55.376	False	Siphoviridae
